time,actuatingForceNewton
0,-99.09200618
0.04,-98.86466056
0.08,-98.19095966
0.12,-97.09505649
0.16,-95.61452461
0.2,-93.79687202
0.24,-91.69556589
0.28,-89.36615722
0.32,-86.86295789
0.36,-84.23652572
0.4,-81.53202313
0.44,-78.78837286
0.48,-76.03805435
0.52,-73.30735866
0.56,-70.61693184
0.6,-67.98246798
0.64,-65.41544985
0.68,-62.92386964
0.72,-60.51288985
0.76,-58.18542481
0.8,-55.94263696
0.84,-53.78435062
0.88,-51.70939051
0.92,-49.71585431
0.96,-47.8013293
1,-45.96306224
1.04,-44.19809116
1.08,-42.50334616
1.12,-40.87572563
1.16,-39.31215292
1.2,-37.80961754
1.24,-36.36520456
1.28,-34.97611456
1.32,-33.6396766
1.36,-32.3533557
1.4,-31.11475625
1.44,-29.92162237
1.48,-28.77183604
1.52,-27.66341356
1.56,-26.59450092
1.6,-25.56336841
1.64,-24.56840465
1.68,-23.60811041
1.72,-22.68109223
1.76,-21.78605613
1.8,-20.9218012
1.84,-20.08721356
1.88,-19.28126025
1.92,-18.50298356
1.96,-17.75149544
2,-17.02597229
2.04,-16.32565003
2.08,-15.64981947
2.12,-14.99782217
2.16,-14.3690466
2.2,-13.76292488
2.24,-13.17893002
2.28,-12.61657377
2.32,-12.07540514
2.36,-11.5550097
2.4,-11.05500964
2.44,-10.57506469
2.48,-10.11487399
2.52,-9.674178715
2.56,-9.252765634
2.6,-8.850471268
2.64,-8.467186608
2.68,-8.102862052
2.72,-7.757512202
2.76,-7.431220081
2.8,-7.124140236
2.84,-6.836500159
2.88,-6.568599423
2.92,-6.320806005
2.96,-6.093549323
3,-5.887309734
3.04,-5.702604453
3.08,-5.539970139
3.12,-5.399942756
3.16,-5.283035606
3.2,-5.189716744
3.24,-5.120387177
3.28,-5.075361327
3.32,-5.054851195
3.36,-5.058955432
3.4,-5.087654194
3.44,-5.140810173
3.48,-5.21817575
3.52,-5.319405672
3.56,-5.444074269
3.6,-5.591695913
3.64,-5.761747241
3.68,-5.953689685
3.72,-6.166990947
3.76,-6.401144322
3.8,-6.655685039
3.84,-6.930203174
3.88,-7.224352947
3.92,-7.537858552
3.96,-7.870516841
4,-8.222197362
4.04,-8.59284031
4.08,-8.982452992
4.12,-9.391105361
4.16,-9.818925123
4.2,-10.26609285
4.24,-10.7328374
4.28,-11.21943196
4.32,-11.7261908
4.36,-12.25346684
4.4,-12.80165016
4.44,-13.37116735
4.48,-13.9624817
4.52,-14.57609418
4.56,-15.21254514
4.6,-15.87241667
4.64,-16.55633554
4.68,-17.26497669
4.72,-17.99906708
4.76,-18.75939014
4.8,-19.54679036
4.84,-20.36217844
4.88,-21.20653653
4.92,-22.08092391
4.96,-22.9864828
5,-23.92444444
5.04,-24.89613527
5.08,-25.90298329
5.12,-26.94652442
5.16,-28.02840879
5.2,-29.15040692
5.24,-30.31441548
5.28,-31.52246246
5.32,-32.77671153
5.36,-34.07946502
5.4,-35.43316518
5.44,-36.84039286
5.48,-38.3038629
5.52,-39.82641496
5.56,-41.41099847
5.6,-43.06064976
5.64,-44.77845907
5.68,-46.56752459
5.72,-48.43088982
5.76,-50.37145975
5.8,-52.39189047
5.84,-54.49444558
5.88,-56.68081166
5.92,-58.95186415
5.96,-61.30737383
6,-63.74564423
6.04,-66.26307099
6.08,-68.85361713
6.12,-71.5082039
6.16,-74.21402687
6.2,-76.95382294
6.24,-79.70513645
6.28,-82.43966289
6.32,-85.12278447
6.36,-87.71344797
6.4,-90.16456206
6.44,-92.42409255
6.48,-94.43699211
6.52,-96.14800064
6.56,-97.50519081
6.6,-98.46393567
6.64,-98.99079001
6.68,-99.06667601
6.72,-98.6888042
6.76,-97.87096065
6.8,-96.64210336
6.84,-95.0435418
6.88,-93.12521835
6.92,-90.9417056
6.96,-88.54847415
7,-85.99882054
7.04,-83.34164453
7.08,-80.62008714
7.12,-77.87091958
7.16,-75.12451269
7.2,-72.40520556
7.24,-69.73191252
7.28,-67.11884146
7.32,-64.5762339
7.36,-62.11106906
7.4,-59.72769962
7.44,-57.42840498
7.48,-55.21385947
7.52,-53.08352006
7.56,-51.0359418
7.6,-49.06903065
7.64,-47.18024357
7.68,-45.36674476
7.72,-43.62552639
7.76,-41.95350061
7.8,-40.34756866
7.84,-38.80467201
7.88,-37.32182928
7.92,-35.8961622
7.96,-34.52491304
8,-33.20545558
8.04,-31.93530109
8.08,-30.71210063
