time,actuatingForceNewton
0,-151.743913546805
0.04,-151.395258271178
0.08,-150.362084176642
0.12,-148.681454135156
0.16,-146.411023595557
0.2,-143.623689639686
0.24,-140.401489539014
0.28,-136.829653394877
0.32,-132.991504959959
0.36,-128.964603125086
0.4,-124.818224401476
0.44,-120.612068761087
0.48,-116.395948425531
0.52,-112.21018018353
0.56,-108.08642008206
0.6,-104.048727382553
0.64,-100.114701425169
0.68,-96.2965876649878
0.72,-92.6022917247787
0.76,-89.0362715400748
0.8,-85.6002987121501
0.84,-82.2940931581793
0.88,-79.1158422754073
0.92,-76.0626190240788
0.96,-73.1307140490028
1,-70.3158962473679
1.04,-67.6136147510895
1.08,-65.0191535679049
1.12,-62.527748378476
1.16,-60.1346733588074
1.2,-57.8353044543352
1.24,-55.6251642946052
1.28,-53.499952900454
1.32,-51.4555674810384
1.36,-49.4881139226462
1.4,-47.5939120107724
1.44,-45.7694959786922
1.48,-44.0116116194659
1.52,-42.3172109165758
1.56,-40.6834449266612
1.6,-39.1076554740901
1.64,-37.5873660816563
1.68,-36.1202724566699
1.72,-34.7042327708957
1.76,-33.3372579112362
1.8,-32.0175018318697
1.84,-30.7432521047081
1.88,-29.5129207411642
1.92,-28.32503534247
1.96,-27.1782306267324
2,-26.0712403774073
2.04,-25.0028898589565
2.08,-23.9720887503061
2.12,-22.9778246545283
2.16,-22.0191572530371
2.2,-21.0952131835507
2.24,-20.2051817318346
2.28,-19.3483114363476
2.32,-18.5239077104177
2.36,-17.7313315862756
2.4,-16.9699996765094
2.44,-16.2393854284011
2.48,-15.5390217121407
2.52,-14.8685047323028
2.56,-14.2274991810393
2.6,-13.6157444602335
2.64,-13.0330616893615
2.68,-12.4793610896765
2.72,-11.9546492006883
2.76,-11.459035252821
2.8,-10.9927359057925
2.84,-10.5560774844008
2.88,-10.1494948229525
2.92,-9.77352588720236
2.96,-9.42880149542427
3,-9.11602971747797
3.04,-8.83597488995795
3.08,-8.58943162903182
3.12,-8.37719471594961
3.16,-8.20002622351818
3.2,-8.05862168438237
3.24,-7.95357741015796
3.28,-7.88536119828842
3.32,-7.85428857324883
3.36,-7.86050639012948
3.4,-7.90398510379853
3.44,-7.98452032925112
3.48,-8.10174356631581
3.52,-8.255141224695
3.56,-8.44408045098977
3.6,-8.66783979878648
3.64,-8.92564253959737
3.68,-9.21669039753025
3.72,-9.5401956838262
3.76,-9.89541016388211
3.8,-10.2816494492946
3.84,-10.6983122071414
3.88,-11.1448939603213
3.92,-11.6209956711806
3.96,-12.1263276270571
4,-12.660709368387
4.04,-13.224066519563
4.08,-13.8164254121855
4.12,-14.4379063483909
4.16,-15.0887162596678
4.2,-15.7691413943855
4.24,-16.479540532837
4.28,-17.2203390957591
4.32,-17.992024390771
4.36,-18.7951421368415
4.4,-19.6302943224505
4.44,-20.4981383887983
4.48,-21.3993876838014
4.52,-22.3348131032681
4.56,-23.3052458196519
4.6,-24.3115809931582
4.64,-25.3547823618768
4.68,-26.4358876145661
4.72,-27.556014459549
4.76,-28.7163673141746
4.8,-29.9182445500134
4.84,-31.1630462382452
4.88,-32.4522823466037
4.92,-33.7875813429342
4.96,-35.17069916007
5,-36.6035284714888
5.04,-38.0881082160679
5.08,-39.6266332919731
5.12,-41.2214643127486
5.16,-42.8751372810056
5.2,-44.5903729841781
5.24,-46.3700858493084
5.28,-48.2173919055596
5.32,-50.1356153887463
5.36,-52.1282933749293
5.4,-54.1991776415703
5.44,-56.3522327144684
5.48,-58.5916287538595
5.52,-60.9217275481895
5.56,-63.347059400806
5.6,-65.8722880920091
5.64,-68.502160353142
5.68,-71.2414353764654
5.72,-74.0947887823019
5.76,-77.0666841586101
5.8,-80.1612037795089
5.84,-83.3818284313031
5.88,-86.7311545146096
5.92,-90.2105349254356
5.96,-93.819628960929
6,-97.5558461660244
6.04,-101.413670440913
6.08,-105.383855045149
6.12,-109.45248797855
6.16,-113.599942627446
6.2,-117.79975278997
6.24,-122.017486164047
6.28,-126.20973663301
6.32,-130.323410635002
6.36,-134.295538577589
6.4,-138.05388311838
6.44,-141.518618528709
6.48,-144.605290973084
6.52,-147.229115053516
6.56,-149.310414882073
6.6,-150.780713265007
6.64000000000001,-151.588689139787
6.68000000000001,-151.705067343422
6.72000000000001,-151.125567391104
6.76000000000001,-149.871344228254
6.80000000000001,-147.986833757926
