time,actuationPowerWatt
0,1.75E-15
0.04,1.075796136
0.08,2.135412168
0.12,3.163617079
0.16,4.146946611
0.2,5.074290134
0.24,5.937199607
0.28,6.729928361
0.32,7.449249508
0.36,8.094125364
0.4,8.665301173
0.44,9.164884462
0.48,9.595953298
0.52,9.962218351
0.56,10.26774873
0.6,10.5167612
0.64,10.71346617
0.68,10.86196137
0.72,10.96616317
0.76,11.02976665
0.8,11.05622659
0.84,11.0487531
0.88,11.01031708
0.92,10.94366192
0.96,10.8513187
1,10.73562315
1.04,10.59873306
1.08,10.44264524
1.12,10.26921165
1.16,10.08015431
1.2,9.877078816
1.24,9.661486524
1.28,9.434785331
1.32,9.198299148
1.36,8.953276162
1.4,8.700895965
1.44,8.442275667
1.48,8.178475079
1.52,7.910501075
1.56,7.639311221
1.6,7.365816744
1.64,7.090884939
1.68,6.815341065
1.72,6.53996981
1.76,6.26551638
1.8,5.992687271
1.84,5.72215077
1.88,5.454537241
1.92,5.190439239
1.96,4.930411501
2,4.674970839
2.04,4.424596003
2.08,4.179727522
2.12,3.940767581
2.16,3.708079949
2.2,3.481990004
2.24,3.262784866
2.28,3.050713652
2.32,2.845987888
2.36,2.648782043
2.4,2.459234207
2.44,2.277446869
2.48,2.103487769
2.52,1.937390763
2.56,1.779156649
2.6,1.628753864
2.64,1.486118969
2.68,1.351156838
2.72,1.223740471
2.76,1.103710357
2.8,0.990873363
2.84,0.885001148
2.88,0.785828166
2.92,0.693049374
2.96,0.60631785
3,0.525242557
3.04,0.449386566
3.08,0.378266068
3.12,0.311350512
3.16,0.248064142
3.2,0.187789176
3.24,0.129870688
3.28,0.073623182
3.32,0.018338654
3.36,-0.03670419
3.4,-0.092230024
3.44,-0.148956788
3.48,-0.20758596
3.52,-0.268793672
3.56,-0.333223119
3.6,-0.401478534
3.64,-0.47412087
3.68,-0.551665197
3.72,-0.634579648
3.76,-0.7232857
3.8,-0.818159458
3.84,-0.919533624
3.88,-1.027699809
3.92,-1.142910914
3.96,-1.265383342
4,-1.395298864
4.04,-1.532806055
4.08,-1.678021242
4.12,-1.831028988
4.16,-1.991882144
4.2,-2.160601554
4.24,-2.337175484
4.28,-2.521558879
4.32,-2.713672514
4.36,-2.913402123
4.4,-3.120597573
4.44,-3.335072111
4.48,-3.556601734
4.52,-3.784924695
4.56,-4.019741145
4.6,-4.260712916
4.64,-4.507463431
4.68,-4.759577714
4.72,-5.016602478
4.76,-5.27804627
4.8,-5.543379621
4.84,-5.81203518
4.88,-6.083407793
4.92,-6.356854475
4.96,-6.631694245
5,-6.907207772
5.04,-7.182636788
5.08,-7.457183221
5.12,-7.730007982
5.16,-8.000229367
5.2,-8.266920997
5.24,-8.52910923
5.28,-8.785769983
5.32,-9.03582487
5.36,-9.278136573
5.4,-9.511503363
5.44,-9.734652656
5.48,-9.946233523
5.52,-10.14480803
5.56,-10.32884134
5.6,-10.49669047
5.64,-10.64659165
5.68,-10.77664637
5.72,-10.88480599
5.76,-10.96885534
5.8,-11.0263955
5.84,-11.05482644
5.88,-11.05133051
5.92,-11.01285811
5.96,-10.9361178
6,-10.81757359
6.04,-10.65345363
6.08,-10.43977543
6.12,-10.1723944
6.16,-9.847084043
6.2,-9.459657079
6.24,-9.006137417
6.28,-8.482991573
6.32,-7.887424458
6.36,-7.217737005
6.4,-6.473731177
6.44,-5.657131569
6.48,-4.771974061
6.52,-3.824895131
6.56,-2.825247298
6.6,-1.784974127
6.64,-0.718206922
6.68,0.359407126
6.72,1.431579604
6.76,2.482345287
6.8,3.49698103
6.84,4.462755215
6.88,5.369424396
6.92,6.209448889
6.96,6.977951049
7,7.672475626
7.04,8.292626198
7.08,8.83964812
7.12,9.316013653
7.16,9.725046216
7.2,10.07060321
7.24,10.3568234
7.28,10.58793599
7.32,10.76812359
7.36,10.90142951
7.4,10.99169961
7.44,11.04255015
7.48,11.05735427
7.52,11.03924135
7.56,10.99110495
7.6,10.91561588
7.64,10.81523817
7.68,10.69224631
7.72,10.54874258
7.76,10.38667378
7.8,10.20784695
7.84,10.01394387
7.88,9.806534122
7.92,9.58708676
7.96,9.356980701
8,9.117513753
8.04,8.8699105
8.08,8.615329074
8.12,8.354866952
8.16,8.089565853
8.2,7.820415847
8.24,7.548358751
8.28,7.27429091
8.32,6.999065416
8.36,6.723493863
8.4,6.448347673
8.44,6.174359079
8.48,5.902221796
8.52,5.632591446
8.56,5.366085786
8.6,5.103284772
8.64,4.844730512
8.68,4.590927149
8.72,4.342340708
8.76,4.09939895
8.8,3.862491256
8.84,3.631968594
8.88,3.408143566
8.92,3.191290588
8.96,2.981646198
9,2.779409499
9.04,2.584742756
9.08,2.397772099
9.12,2.218588338
9.16,2.047247822
9.2,1.883773302
9.24,1.72815472
9.28,1.580349846
9.32,1.440284674
9.36,1.307853497
9.4,1.18291857
9.44,1.065309324
9.48,0.954821087
9.52,0.851213357
9.56,0.754207684
9.6,0.663485331
9.64,0.578684902
9.68,0.499400228
9.72,0.425178814
9.76,0.355521192
9.8,0.289881495
9.84,0.227669521
9.88,0.168254477
9.92,0.110970439
9.96,0.055123448
10,5.23E-14
10.04,-0.055123448
10.08,-0.110970439
10.12,-0.168254477
10.16,-0.227669521
10.2,-0.289881495
10.24,-0.355521192
10.28,-0.425178814
10.32,-0.499400228
10.36,-0.578684902
10.4,-0.663485331
10.44,-0.754207684
10.48,-0.851213357
10.52,-0.954821087
10.56,-1.065309324
