time,sliderVelocitymmsec
0,-1.77E-14
0.04,-10.88150336
0.08,-21.74754352
0.12,-32.58267922
0.16,-43.37151315
0.2,-54.09871379
0.24,-64.7490372
0.28,-75.30734868
0.32,-85.7586443
0.36,-96.08807219
0.4,-106.2809537
0.44,-116.3228041
0.48,-126.1993535
0.52,-135.8965666
0.56,-145.4006634
0.6,-154.6981378
0.64,-163.7757777
0.68,-172.6206832
0.72,-181.2202854
0.76,-189.5623636
0.8,-197.6350632
0.84,-205.4269127
0.88,-212.9268393
0.92,-220.1241851
0.96,-227.0087225
1,-233.5706681
1.04,-239.8006969
1.08,-245.6899558
1.12,-251.2300759
1.16,-256.4131843
1.2,-261.2319155
1.24,-265.6794219
1.28,-269.7493833
1.32,-273.436016
1.36,-276.7340812
1.4,-279.6388921
1.44,-282.1463209
1.48,-284.2528043
1.52,-285.9553489
1.56,-287.2515353
1.6,-288.1395216
1.64,-288.6180458
1.68,-288.686428
1.72,-288.344571
1.76,-287.5929606
1.8,-286.4326648
1.84,-284.8653326
1.88,-282.8931911
1.92,-280.5190429
1.96,-277.7462618
2,-274.5787881
2.04,-271.0211229
2.08,-267.0783219
2.12,-262.7559879
2.16,-258.0602633
2.2,-252.9978209
2.24,-247.5758548
2.28,-241.8020699
2.32,-235.684671
2.36,-229.2323513
2.4,-222.4542798
2.44,-215.3600887
2.48,-207.9598591
2.52,-200.2641071
2.56,-192.2837689
2.6,-184.030185
2.64,-175.5150841
2.68,-166.7505666
2.72,-157.7490874
2.76,-148.5234382
2.8,-139.0867291
2.84,-129.45237
2.88,-119.6340521
2.92,-109.6457277
2.96,-99.50159066
3,-89.21605642
3.04,-78.80374129
3.08,-68.27944174
3.12,-57.65811335
3.16,-46.95484964
3.2,-36.18486051
3.24,-25.36345072
3.28,-14.50599808
3.32,-3.627931614
3.36,7.255290336
3.4,18.12820212
3.44,28.97535274
3.48,39.7813278
3.52,50.53077141
3.56,61.20840803
3.6,71.79906416
3.64,82.28768989
3.68,92.6593803
3.72,102.8993967
3.76,112.9931874
3.8,122.9264086
3.84,132.6849446
3.88,142.2549281
3.92,151.6227595
3.96,160.7751267
4,169.6990236
4.04,178.381769
4.08,186.8110241
4.12,194.9748105
4.16,202.861527
4.2,210.4599662
4.24,217.7593303
4.28,224.7492464
4.32,231.4197816
4.36,237.7614566
4.4,243.7652596
4.44,249.4226587
4.48,254.7256147
4.52,259.6665916
4.56,264.2385681
4.6,268.4350471
4.64,272.2500652
4.68,275.678201
4.72,278.7145831
4.76,281.3548965
4.8,283.5953892
4.84,285.4328773
4.88,286.8647497
4.92,287.8889716
4.96,288.5040875
5,288.7092233
5.04,288.5040875
5.08,287.8889716
5.12,286.8647497
5.16,285.4328773
5.2,283.5953892
5.24,281.3548965
5.28,278.7145831
5.32,275.678201
5.36,272.2500652
5.4,268.4350471
5.44,264.2385681
5.48,259.6665916
5.52,254.7256147
5.56,249.4226587
5.6,243.7652596
5.64,237.7614566
5.68,231.4197816
5.72,224.7492464
5.76,217.7593303
5.8,210.4599662
5.84,202.861527
5.88,194.9748105
5.92,186.8110241
5.96,178.381769
6,169.6990236
6.04,160.7751267
6.08,151.6227595
6.12,142.2549281
6.16,132.6849446
6.2,122.9264086
6.24,112.9931874
6.28,102.8993967
6.32,92.6593803
6.36,82.28768989
6.4,71.79906416
6.44,61.20840803
6.48,50.53077141
6.52,39.7813278
6.56,28.97535274
6.6,18.12820212
6.64,7.255290336
6.68,-3.627931614
6.72,-14.50599808
6.76,-25.36345072
6.8,-36.18486051
6.84,-46.95484964
6.88,-57.65811335
6.92,-68.27944174
6.96,-78.80374129
7,-89.21605642
7.04,-99.50159066
7.08,-109.6457277
7.12,-119.6340521
7.16,-129.45237
7.2,-139.0867291
7.24,-148.5234382
7.28,-157.7490874
7.32,-166.7505666
7.36,-175.5150841
7.4,-184.030185
7.44,-192.2837689
7.48,-200.2641071
7.52,-207.9598591
7.56,-215.3600887
7.6,-222.4542798
7.64,-229.2323513
7.68,-235.684671
7.72,-241.8020699
7.76,-247.5758548
7.8,-252.9978209
7.84,-258.0602633
7.88,-262.7559879
7.92,-267.0783219
7.96,-271.0211229
8,-274.5787881
8.04,-277.7462618
8.08,-280.5190429
8.12,-282.8931911
8.16,-284.8653326
8.2,-286.4326648
8.24,-287.5929606
8.28,-288.344571
8.32,-288.686428
8.36,-288.6180458
8.4,-288.1395216
8.44,-287.2515353
8.48,-285.9553489
8.52,-284.2528043
8.56,-282.1463209
8.6,-279.6388921
8.64,-276.7340812
8.68,-273.436016
8.72,-269.7493833
8.76,-265.6794219
8.8,-261.2319155
8.84,-256.4131843
8.88,-251.2300759
8.92,-245.6899558
8.96,-239.8006969
9,-233.5706681
9.04,-227.0087225
9.08,-220.1241851
9.12,-212.9268393
9.16,-205.4269127
9.2,-197.6350632
9.24,-189.5623636
9.28,-181.2202854
9.32,-172.6206832
9.36,-163.7757777
9.4,-154.6981378
9.44,-145.4006634
9.48,-135.8965666
9.52,-126.1993535
9.56,-116.3228041
9.6,-106.2809537
9.64,-96.08807219
9.68,-85.7586443
9.72,-75.30734868
9.76,-64.7490372
9.8,-54.09871379
9.84,-43.37151315
9.88,-32.58267922
9.92,-21.74754352
9.96,-10.88150336
10,-1.03E-11
10.04,10.88150336
10.08,21.74754352
10.12,32.58267922
10.16,43.37151315
10.2,54.09871379
10.24,64.7490372
10.28,75.30734868
10.32,85.7586443
10.36,96.08807219
10.4,106.2809537
10.44,116.3228041
10.48,126.1993535
10.52,135.8965666
10.56,145.4006634
10.6,154.6981378
10.64,163.7757777
10.68,172.6206832
10.72,181.2202854
10.76,189.5623636
10.8,197.6350632
10.84,205.4269127
10.88,212.9268393
10.92,220.1241851
10.96,227.0087225
11,233.5706681
11.04,239.8006969
11.08,245.6899558
