time,sliderVelocitymmsec
0,-1.76783413082339e-14
0.04,-10.881503363626
0.08,-21.7475435155492
0.12,-32.5826792181369
0.16,-43.3715131506697
0.2,-54.0987137897774
0.24,-64.749037196372
0.28,-75.3073486781195
0.32,-85.7586442966659
0.36,-96.088072189055
0.4,-106.280953673037
0.44,-116.322804106282
0.48,-126.199353469844
0.52,-135.896566646646
0.56,-145.400663366143
0.6,-154.698137786844
0.64,-163.77577768885
0.68,-172.620683249143
0.72,-181.220285372938
0.76,-189.562363555058
0.8,-197.635063245937
0.84,-205.426912697586
0.88,-212.926839265573
0.92,-220.124185143858
0.96,-227.008722510117
1,-233.57066806004
1.04,-239.800696909938
1.08,-245.689955847915
1.12,-251.230075914768
1.16,-256.413184296731
1.2,-261.231915513182
1.24,-265.679421883387
1.28,-269.74938325743
1.32,-273.436015997496
1.36,-276.734081196733
1.4,-279.638892124026
1.44,-282.146320884101
1.48,-284.252804283485
1.52,-285.955348894004
1.56,-287.251535306605
1.6,-288.139521569469
1.64,-288.618045805529
1.68,-288.686428005659
1.72,-288.344570995013
1.76,-287.592960571107
1.8,-286.432664813482
1.84,-284.865332565899
1.88,-282.893191093244
1.92,-280.519042916464
1.96,-277.746261830028
2,-274.578788107584
2.04,-271.021122902611
2.08,-267.078321852037
2.12,-262.755987891901
2.16,-258.060263295272
2.2,-252.997820943746
2.24,-247.575854844918
2.28,-241.802069909295
2.32,-235.684671001207
2.36,-229.232351279239
2.4,-222.454279842779
2.44,-215.360088702227
2.48,-207.959859091378
2.52,-200.264107141442
2.56,-192.283768937042
2.6,-184.030184975442
2.64,-175.515084051076
2.68,-166.750566588295
2.72,-157.749087445998
2.76,-148.523438218596
2.8,-139.086729058458
2.84,-129.452370045666
2.88,-119.634052131557
2.92,-109.645727683136
2.96,-99.5015906559916
3,-89.2160564239153
3.04,-78.8037412938634
3.08,-68.2794417353849
3.12,-57.6581133540298
3.16,-46.9548496386147
3.2,-36.184860512549
3.24,-25.3634507197022
3.28,-14.5059980755245
3.32,-3.62793161433023
3.36,7.25529033620399
3.4,18.1282021221695
3.44,28.9753527409657
3.48,39.7813277980198
3.52,50.5307714114854
3.56,61.2084080337912
3.6,71.7990641590289
3.64,82.2876898853364
3.68,92.6593803016316
3.72,102.899396668306
3.76,112.993187361781
3.8,122.926408553161
3.84,132.684944591598
3.88,142.254928063408
3.92,151.622759498417
3.96,160.77512669556
4,169.699023640243
4.04,178.381768986603
4.08,186.811024078393
4.12,194.974810482888
4.16,202.861527012895
4.2,210.459966212673
4.24,217.759330284342
4.28,224.749246432143
4.32,231.419781602749
4.36,237.761456600681
4.4,243.765259558756
4.44,249.42265874445
4.48,254.725614683955
4.52,259.666591586709
4.56,264.238568054167
4.6,268.435047057598
4.64,272.25006517071
4.68,275.678201044013
4.72,278.714583108845
4.76,281.354896500146
4.8,283.595389188112
4.84,285.432877310036
4.88,286.864749694753
4.92,287.888971573251
4.96,288.504087470199
5,288.709223272248
5.04,288.504087470199
5.08,287.888971573251
5.12,286.864749694752
5.16,285.432877310036
5.2,283.595389188112
5.24,281.354896500146
5.28,278.714583108844
5.32,275.678201044012
5.36,272.25006517071
5.4,268.435047057597
5.44,264.238568054166
5.48,259.666591586708
5.52,254.725614683954
5.56,249.42265874445
5.6,243.765259558755
5.64,237.76145660068
5.68,231.419781602748
5.72,224.749246432141
5.76,217.759330284341
5.8,210.459966212672
5.84,202.861527012894
5.88,194.974810482886
5.92,186.811024078391
5.96,178.381768986601
6,169.699023640242
6.04,160.775126695558
6.08,151.622759498415
6.12,142.254928063406
6.16,132.684944591597
6.2,122.926408553159
6.24,112.993187361779
6.28,102.899396668304
6.32,92.6593803016299
6.36,82.2876898853347
6.4,71.7990641590272
6.44,61.2084080337894
6.48,50.5307714114836
6.52,39.7813277980178
6.56,28.9753527409639
6.6,18.1282021221677
6.64000000000001,7.25529033620201
6.68000000000001,-3.62793161433209
6.72000000000001,-14.5059980755263
6.76000000000001,-25.3634507197041
6.80000000000001,-36.1848605125508
6.84000000000001,-46.9548496386166
6.88000000000001,-57.6581133540317
6.92000000000001,-68.2794417353866
6.96000000000001,-78.8037412938651
7.00000000000001,-89.2160564239172
7.04000000000001,-99.5015906559932
7.08000000000001,-109.645727683138
7.12000000000001,-119.634052131559
7.16000000000001,-129.452370045667
7.20000000000001,-139.086729058459
7.24000000000001,-148.523438218598
7.28000000000001,-157.749087446
7.32000000000001,-166.750566588297
7.36000000000001,-175.515084051077
7.40000000000001,-184.030184975443
7.44000000000001,-192.283768937044
7.48000000000001,-200.264107141443
7.52000000000001,-207.959859091379
7.56000000000001,-215.360088702228
7.60000000000001,-222.45427984278
7.64000000000001,-229.23235127924
7.68000000000001,-235.684671001208
7.72000000000001,-241.802069909296
7.76000000000001,-247.575854844919
7.80000000000001,-252.997820943747
7.84000000000001,-258.060263295272
7.88000000000001,-262.755987891901
7.92000000000001,-267.078321852038
7.96000000000001,-271.021122902612
8.00000000000001,-274.578788107585
8.04,-277.746261830029
8.08,-280.519042916464
8.12,-282.893191093244
8.16,-284.865332565899
8.2,-286.432664813482
8.24,-287.592960571107
8.28,-288.344570995013
8.32,-288.686428005659
8.36,-288.618045805529
8.4,-288.13952156947
8.44,-287.251535306605
8.48,-285.955348894004
8.51999999999999,-284.252804283485
8.55999999999999,-282.146320884101
8.59999999999999,-279.638892124027
8.63999999999999,-276.734081196733
8.67999999999999,-273.436015997496
8.71999999999999,-269.749383257431
8.75999999999999,-265.679421883388
8.79999999999999,-261.231915513184
8.83999999999999,-256.413184296733
8.87999999999999,-251.230075914769
8.91999999999999,-245.689955847917
8.95999999999998,-239.80069690994
8.99999999999998,-233.570668060042
9.03999999999998,-227.00872251012
9.07999999999998,-220.124185143861
9.11999999999998,-212.926839265576
9.15999999999998,-205.42691269759
9.19999999999998,-197.635063245941
9.23999999999998,-189.562363555063
9.27999999999998,-181.220285372943
9.31999999999998,-172.620683249148
9.35999999999998,-163.775777688856
9.39999999999998,-154.69813778685
9.43999999999997,-145.40066336615
9.47999999999997,-135.896566646653
9.51999999999997,-126.199353469851
9.55999999999997,-116.322804106288
9.59999999999997,-106.280953673044
9.63999999999997,-96.0880721890628
9.67999999999997,-85.7586442966741
9.71999999999997,-75.3073486781278
9.75999999999997,-64.7490371963806
9.79999999999997,-54.0987137897862
9.83999999999997,-43.3715131506788
9.87999999999997,-32.5826792181461
9.91999999999996,-21.7475435155592
9.95999999999996,-10.8815033636361
9.99999999999996,-1.03454173618091e-11
10.04,10.8815033636155
10.08,21.7475435155385
10.12,32.5826792181261
10.16,43.3715131506588
10.2,54.0987137897664
10.24,64.7490371963604
10.28,75.3073486781078
10.32,85.7586442966544
10.36,96.0880721890433
10.4,106.280953673026
10.44,116.32280410627
10.48,126.199353469833
10.52,135.896566646634
10.56,145.400663366132
10.5999999999999,154.698137786833
10.6399999999999,163.775777688839
10.6799999999999,172.620683249132
10.7199999999999,181.220285372927
10.7599999999999,189.562363555047
10.7999999999999,197.635063245927
10.8399999999999,205.426912697575
10.8799999999999,212.926839265562
10.9199999999999,220.124185143848
10.9599999999999,227.008722510107
10.9999999999999,233.570668060031
11.0399999999999,239.800696909929
11.0799999999999,245.689955847906
11.1199999999999,251.230075914759
11.1599999999999,256.413184296724
11.1999999999999,261.231915513175
11.2399999999999,265.67942188338
11.2799999999999,269.749383257423
11.3199999999999,273.43601599749
11.3599999999999,276.734081196727
11.3999999999999,279.638892124022
11.4399999999999,282.146320884097
11.4799999999999,284.252804283482
11.5199999999999,285.955348894001
11.5599999999999,287.251535306603
11.5999999999999,288.139521569468
11.6399999999999,288.618045805528
11.6799999999999,288.68642800566
11.7199999999999,288.344570995014
11.7599999999999,287.592960571109
11.7999999999999,286.432664813484
11.8399999999999,284.865332565902
11.8799999999999,282.893191093248
11.9199999999999,280.519042916469
11.9599999999999,277.746261830034
11.9999999999999,274.578788107591
12.0399999999999,271.021122902619
12.0799999999999,267.078321852046
12.1199999999999,262.75598789191
12.1599999999999,258.060263295282
12.1999999999999,252.997820943758
12.2399999999999,247.57585484493
12.2799999999999,241.802069909308
12.3199999999999,235.684671001221
12.3599999999999,229.232351279254
12.3999999999999,222.454279842795
12.4399999999999,215.360088702243
12.4799999999999,207.959859091395
12.5199999999999,200.26410714146
12.5599999999999,192.283768937061
12.5999999999999,184.030184975461
12.6399999999999,175.515084051097
12.6799999999999,166.750566588317
12.7199999999999,157.74908744602
12.7599999999999,148.523438218619
12.7999999999999,139.086729058481
12.8399999999999,129.45237004569
12.8799999999999,119.634052131582
12.9199999999999,109.645727683161
12.9599999999999,99.501590656018
12.9999999999999,89.2160564239423
13.0399999999999,78.8037412938907
13.0799999999999,68.2794417354127
13.1199999999999,57.6581133540581
13.1599999999999,46.9548496386433
13.1999999999999,36.184860512578
13.2399999999999,25.3634507197319
13.2799999999999,14.5059980755544
13.3199999999999,3.62793161436047
13.3599999999999,-7.25529033617363
13.3999999999999,-18.1282021221391
13.4399999999999,-28.9753527409351
13.4799999999999,-39.7813277979892
13.5199999999999,-50.5307714114549
13.5599999999999,-61.2084080337601
13.5999999999999,-71.799064158998
13.6399999999999,-82.2876898853057
13.6799999999999,-92.659380301601
13.7199999999999,-102.899396668276
13.7599999999999,-112.993187361751
13.7999999999999,-122.926408553131
13.8399999999999,-132.684944591569
13.8799999999999,-142.254928063378
13.9199999999999,-151.622759498388
13.9599999999999,-160.775126695532
13.9999999999999,-169.699023640215
14.0399999999999,-178.381768986576
14.0799999999999,-186.811024078366
14.1199999999999,-194.974810482862
14.1599999999999,-202.86152701287
14.1999999999999,-210.459966212649
14.2399999999999,-217.759330284318
14.2799999999999,-224.74924643212
14.3199999999999,-231.419781602728
14.3599999999999,-237.76145660066
14.3999999999999,-243.765259558737
14.4399999999999,-249.422658744432
14.4799999999999,-254.725614683938
14.5199999999999,-259.666591586692
14.5599999999999,-264.238568054152
14.5999999999999,-268.435047057584
14.6399999999999,-272.250065170698
14.6799999999999,-275.678201044001
14.7199999999999,-278.714583108835
14.7599999999999,-281.354896500137
14.7999999999999,-283.595389188105
14.8399999999999,-285.432877310031
14.8799999999999,-286.864749694748
14.9199999999999,-287.888971573248
14.9599999999999,-288.504087470198
14.9999999999999,-288.709223272248
15.0399999999999,-288.504087470201
15.0799999999999,-287.888971573254
15.1199999999999,-286.864749694757
15.1599999999999,-285.432877310042
15.1999999999999,-283.59538918812
15.2399999999999,-281.354896500155
15.2799999999999,-278.714583108855
15.3199999999998,-275.678201044025
15.3599999999998,-272.250065170724
15.3999999999998,-268.435047057613
15.4399999999998,-264.238568054184
15.4799999999998,-259.666591586727
15.5199999999998,-254.725614683975
15.5599999999998,-249.422658744471
15.5999999999998,-243.765259558778
15.6399999999998,-237.761456600705
15.6799999999998,-231.419781602775
15.7199999999998,-224.74924643217
15.7599999999998,-217.75933028437
15.7999999999998,-210.459966212703
15.8399999999998,-202.861527012926
15.8799999999998,-194.97481048292
15.9199999999998,-186.811024078426
15.9599999999998,-178.381768986638
15.9999999999998,-169.699023640279
16.0399999999998,-160.775126695597
16.0799999999998,-151.622759498455
16.1199999999998,-142.254928063446
16.1599999999998,-132.684944591638
16.1999999999998,-122.926408553202
16.2399999999998,-112.993187361823
16.2799999999998,-102.899396668349
16.3199999999998,-92.6593803016752
16.3599999999998,-82.2876898853807
16.3999999999998,-71.7990641590738
16.4399999999998,-61.2084080338366
16.4799999999998,-50.5307714115314
16.5199999999998,-39.7813277980662
16.5599999999998,-28.975352741013
16.5999999999998,-18.1282021222172
16.6399999999998,-7.25529033625185
16.6799999999998,3.62793161428224
16.7199999999998,14.5059980754763
16.7599999999998,25.363450719654
16.7999999999998,36.1848605125009
16.8399999999998,46.9548496385666
16.8799999999998,57.6581133539814
16.9199999999998,68.2794417353367
16.9599999999998,78.8037412938154
16.9999999999998,89.2160564238674
17.0399999999998,99.5015906559445
17.0799999999998,109.645727683089
17.1199999999998,119.634052131511
17.1599999999998,129.45237004562
17.1999999999998,139.086729058413
17.2399999999998,148.523438218552
17.2799999999998,157.749087445955
17.3199999999998,166.750566588253
17.3599999999998,175.515084051034
17.3999999999998,184.030184975401
17.4399999999998,192.283768937003
17.4799999999998,200.264107141404
17.5199999999998,207.959859091341
17.5599999999998,215.360088702191
17.5999999999998,222.454279842745
17.6399999999998,229.232351279206
17.6799999999998,235.684671001176
17.7199999999998,241.802069909265
17.7599999999998,247.57585484489
17.7999999999998,252.99782094372
17.8399999999998,258.060263295247
17.8799999999998,262.755987891878
17.9199999999998,267.078321852016
17.9599999999998,271.021122902592
17.9999999999998,274.578788107567
18.0399999999998,277.746261830013
18.0799999999998,280.519042916451
18.1199999999998,282.893191093233
18.1599999999998,284.865332565889
18.1999999999998,286.432664813474
18.2399999999998,287.592960571102
18.2799999999998,288.34457099501
18.3199999999998,288.686428005659
18.3599999999998,288.61804580553
18.3999999999998,288.139521569473
18.4399999999998,287.251535306611
18.4799999999998,285.955348894012
18.5199999999998,284.252804283495
18.5599999999998,282.146320884113
18.5999999999998,279.638892124041
18.6399999999998,276.73408119675
18.6799999999998,273.436015997515
18.7199999999998,269.749383257451
18.7599999999998,265.67942188341
18.7999999999998,261.231915513208
18.8399999999998,256.41318429676
18.8799999999998,251.230075914798
18.9199999999998,245.689955847948
18.9599999999998,239.800696909972
18.9999999999998,233.570668060076
19.0399999999998,227.008722510156
19.0799999999998,220.124185143899
19.1199999999998,212.926839265616
19.1599999999998,205.42691269763
19.1999999999998,197.635063245983
19.2399999999998,189.562363555106
19.2799999999998,181.220285372989
19.3199999999998,172.620683249194
19.3599999999998,163.775777688903
19.3999999999998,154.698137786899
19.4399999999998,145.4006633662
19.4799999999998,135.896566646704
19.5199999999998,126.199353469902
19.5599999999998,116.322804106341
19.5999999999998,106.280953673098
19.6399999999998,96.0880721891176
19.6799999999998,85.7586442967281
19.7199999999998,75.3073486781829
19.7599999999998,64.7490371964366
19.7999999999998,54.0987137898433
19.8399999999998,43.3715131507367
19.8799999999998,32.5826792182028
19.9199999999998,21.747543515616
19.9599999999998,10.8815033636936
20,7.07315189555323e-13
